CountryCode,Summary
"MDG
","Located off the coast of East Africa in the Indian Ocean, Madagascar is the second-largest island country in the world. It covers an area of t 592,800 sq. kilometers.The country can be divided into three parallel longitudinal physiographic regions. The coastal strip in the east, the central plateau, and the western regions of low plateaus and plains.A steep, narrow escarpment runs along Madagascar's eastern coast, and the island's remaining tropical rainforest is located here. Along the west coast of the island swamps of mangroves give way to deep bays.Moving inland, the central highlands are punctuated by grassy, deforested hills bordering rice-growing valleys.At the north end of the island, the Tsaratanana Massif region is home to Madagascar's highest point, Maromokotro at 2,876 m. The point has been marked on the map with an upright yellow triangle. In the centre, the Ankaratra Massif (marked on the map) is a major volcanic mass with the highest peak at 2,643 m.Major rivers of Madagascar include the Mananara, Mangoro Sambirano, Mahajamba, Betsiboka, Mania, north and south Mahavavy, Mangoky, Onilahy, and the Ikopa; lakes unclude: Alaotra, Lake Kinkony and Lake Ihotry.Madagascar's lowest point is the Indian Ocean at 0 m.
"
"MWI
","The landlocked country of Malawi in southeastern Africa covers an area of 118,484 sq. km.The country can be divided into four physiographic regions. These are the Great Rift Valley, the central plateau, highland region, and isolated mountains.The Great Rift Valley traverses Malawi from north to south. As marked on the physical map of Malawi, this deep hosts Lake Malawi, the third-largest lake in Africa. The Shire River flows from the south end of that lake and joins the Zambezi River 249 mi (400 km) farther south in Mozambique.In the west, the land forms high plateaus, generally between 900 and 1,200 m)above sea level. In the north, the Nyika Uplands rise as high as 2,600 m.To the east of the Shire River the land rises to an elevation of 1,600 m, and eventually to the country's highest point, Sapitwa Peak at 3,003 m near the Mozambique border. It has been marked on the map with a yellow upright triangle.In the extreme south, the elevation is just slightly above sea level. It is there that Malawi's lowest point sits at the junction of the Shire River and the border of Mozambique at 37 m.
"
"MYS
","With an area of 329,847 sq. km, Malaysia is the 66thlargest country in the world.As observed on the physical map above, Malaysia consists of the Peninsular Malaysia, which is part of mainlandSoutheast Asia, and the states of Sabah and Sarawak (east Malaysia) on the northern edges of the island of Borneo.In essence, the coastal plains here (in some areas rather wide) rise gently into hills and mountains, all covered by dense rain forests.Countrywide, elevations average between 3,500 to 6,000 feet, with the major exception being Malaysia's highest point, Mt. Kinabalu, at 13,451 ft. (4,100 m) in the State of Sabah. It has been marked on the map above.The lowest point of the country is the South China Sea at 0 m. Off the coastlines of Malaysia are hundreds of very small islands (dots on a sea of blue).Running along the peninsula are numerous caves, carved out by water eroding limestone, with the Mulu Caves in East Malaysia being one of the largest cave systems in the world.Over two dozen rivers of size flow from the mountains, with the Pahang, Rajang and Sugut being the most significant.There are only two natural lakes within Malaysia's borders: Bera Lake and Tasik Chini. Created in 1985, Kenyir Lake is an artificial lake that is said to be the largest in the world, covering some 100 sq miles (260 sq km).
"
"MDV
","Maldives is an archipelagic nation with a total land area of 298 sq. km in the Indian Ocean. It is Asia's smallest country. Here, over 1,110 islands are grouped into a double chain of 26 atolls. The islands of the country are dispersed across about 90,000 sq. km of the ocean. This fact makes Maldives one of the world's most geographically dispered nations.The double chain of atolls of Maldives can be observed on the physical map of the country above. They lie across the Equator on both the Northern and Southern hemispheres of the Earth.The atolls of Maldives sit atop a submarine ridge. This ridge rises from the bed of the ocean and runs for 960 km (600 mi) in the north-south directions. The atolls are composed of sand bars and live coral reefs.Gan is the country's largest island and is located in the Laamu Atoll.The topography of each of the islands vary from mostly sand to marshy wetlands.Its highest point, an unnamed point on Wilingili Island, is only 7.87 ft. (2.4 m); while its lowest is the Indian Ocean (0 m).
"
"MLI
","Mali is a landlocked country in West Africa with an area of 1,240,192 sq. km.As observed on the physical map above, Mali has a monotonous landscape with plains and plateaus dominating the country topgraphy. The landscape transitions from Sahara Desert in the north through the Sahel to the zone of Sudanian savanna in the south.Approximately 65% of the country is covered by desert or semi-desert.Mali's landscape is mostly a savanna grassland that rolls into higher plateaus as you move north. Rugged hills with elevations that reach upwards of 1,000 m dot the northeast.The lowest point of the country is the Senegal River at 75 ft (23 m); the highest point of Mali is Hombori Tondo at 3,789 ft (1,155 m).The largest rivers in Mali are the Niger and Senegal. Considered to be Mali's lifeblood (its source of food, drinking water, irrigation and transportation) the Niger River snakes through roughly 4,180 km of western Africa.
"
"MLT
","Malta, one of the world's smallest nations, occupies an area of 316 sq. km in the Mediterranean Sea. As observed on the physical map of Malta, the country is a cluster of small islands. These islands are composed of coralline limestone.The three largest islands in the archipelago are Malta, Comino, and Gozo. Only these three are inhabited. Each of these islands is mostly low, rocky islands with rugged, steep coastal cliffs.The highest point is located within the triangular plateau Ta'Zuta, and rises to 830 feet (253 m). A yellow triangle marks the position of this point on the map above. The famous Blue Lagoon of Malta is located in the Comino island.Malta does not have any permanent natural lakes or rivers, though during periods of intense rainfall small rivers are known to form.
"
"MHL
","Covering a total land area of only 180 sq.km (70.05 sq mi), Marshall Islands consist of 29 low-lying coral atolls comprising 1,156 individual islands and islets; scattered over a wide area in central Pacific Ocean. Marshall Islands are composed of coral islands and islets which have accumulated on its atoll reefs and are formed on top of ancient volcanoes submerged below sea level. The general landscape is sandy as most of these islands rise only a few feet above sea level, with the highest point being an unnamed hill on Likiep which peaks at only 32ft (10m). The Kwajalein Atoll, with a huge central lagoon is the largest coral atoll on the planet.
"
"MRT
","Mauritania, a country in Northwest Africa, occupies an area of 1,030,000 sq. km.Mauritania has a generally flat landscape with vast plains that are punctuated by the occasional ridge or cliff-like outcropping.Bisecting the plains in the center of the country is a series of sandstone plateaus giving way to spring-fed oases.The most prominent feature of this region is the Guelb er Richat, also known as the Eye of the Sahara, which is a deeply eroded dome consisting of a variety of intrusive and extrusive igneous rocks.As observed on the map, three-quarters of the Mauritania landscape is desert or semidesert, and as a result of severe drought, the arid land has been expanding. There are no significant lakes or rivers in the country.As marked on the map, the highest point of the country is Kediet Ijill at 3,001 ft (915 m); the lowest point of Mauritania is Te-n-Dghamcha at -16 ft (-5 m).
"
"MUS
","Mauritius occupies a total area of 2,040 sq. km in the Indian Ocean. It is made up of the main island of Mauritius and several outlying islands like the Ambre Island, Est Island, Cerfs Island, Benitiers Island, etc., as marked on the map.The island of Mauritius is a volcanic island formed by volcanic activity around 8 million years ago. However, no volcanic activity has been recorded on the island for over 100,000 years.Coral reefs surround the island protecting the land from storms and high waves.The spectacular white sand beaches of the Mauritius Island give way to a broken ring of coastal mountain ranges. A plain covers the northern part of Mauritius gradually giving way to a central plateau with elevations ranging from 270 to 730 m. Bordering the plateau are low mountains. The highest peak in Mauritius, the 828 m tall Mount Piton, is located in the southwest of the plateau.Off the coast of mainland Mauritius, there are nearly a hundred islets and rocks without any human habitation.Lake Vacoas, marked on the map, is the primary source of water for the islanders. Important rivers include the Grand River South East and the Black River.
"
"MEX
","Covering an area of 1,972,550 sq. km (761,610 sq mi), Mexico is a country located in the southern part of North America. As observed on the physical map of Mexico above, the country has an extremely diverse topography.Mountains: The Sierra Madre Occidental Range runs north to south, from the Sonora-Arizona border southeast through Sonora, Chihuahua, Sinaloa, Durango, Zacatecas, Nayarit, Jalisco, Augascalientes to Guanajuato, where it joins the Sierra Madre del Sur and the Transverse Volcanic Axis of Central Mexico. These steep mountains are cut through with canyons, including Copper Canyon, the deepest in North America. The highest point is Cero Mohinora at 10,662 ft (3,250m). Sierra Madre del Sur is a mountain range in Mexico, extending 1,000m from southern Michoacan east through Guerrero to eastern Oaxaca.Coastal Plains: The Gulf Coastal Plain lies to the east of the Sierra Madre Occidental range fronting the Gulf of Mexico. The very narrow coastal plain along the Pacific Ocean coastline rises quickly into the foothills of the mountains, while the Gulf of Mexico and Caribbean coastlines are wider and rise gently into the interior.Plateaus: The Central Mexican Plateau consumer much of Northern and Central Mexico. It extend from the border with the USA on the north to the Cordillera Neovolcanica in the south, with the Sierra Madre Occidental mountain range on the west and the Sierra Madre Oriental on the east. It average 5,988 ft (1,825m) above sea level and is covered mostly by deserts and xeric shrublands.Volcanoes: A long line of ancient volcanoes (many still active) extends from the Pacific Ocean (north of Guadalajara) on eastward to the Gulf of Mexico, just to the south of Veracruz. Pico de Orizaba Volcano, the 3rdhighest mountain in North America and Mexico's highest point is located here. A yellow triangle shows its position on the map above. It is 5,636 m (18,491 ft) tall.Peninsulas: As observed on the map above, the mountainous Baja Peninsula extends about 750 miles (1,200km) south from the U.S. border. Mexico's limestone Yucatan Peninsula is tree-covered, with thick tropical jungles along it’s border collies with Central America countries. The Yucatan Peninsula separates the Caribbean Sea from the Gulf of Mexico. It is east of the isthmus of Tehuantepec, which is a geographic partition separating Central America from the rest of North America.Rivers: Mexico has nearly 150 rivers; most are small, unnavigable, and 70% drain into the Pacific Ocean. Some of the large rivers include the Balsas, Conchos, Grijalva, Panuco, Papaloapan and Usumacinta. The Rio Grande, rising in the San Juan Mountains of the US State of Colorado, flows generally south to the Gulf of Mexico for 1,885 miles (3,000km) and forms much of Mexico’s northern border with the United States. The two largest lakes in the country of Mexico are: Lake Chapala and Lake Cuitzeo.
"
"FSM
","Covering a combined land area of 702 sq.km (271 sq mi), the Federated States of Micronesia is a sovereign island nation and an associated state of the United States comprising of about 607 islands and islets of the Caroline Islands Archipelago in North Pacific Ocean. Despite its small land area, FSM actually occupies 2,600,000 sq.km, of the Pacific Ocean and has the world’s 14thlargest Exclusive Economic Zone. Located in the southern part of the Micronesian island of Pohnpei is, Mount Nanlaud – the highest point of FSM at an elevation of 2,566ft (782m). The islands of the Federated States of Micronesia are high volcanic islands, supporting a large variety of flora and low-lying coral atolls in poorer soil. The Pohnpei Island is the biggest, wettest and highest island in FSM as well as the most beautiful one in the country. It is an elevated island compared to its other islands which occupy lower altitudes. The landscape of the Pohnpei Island features mountains covered by dense rainforests, with mangrove swamps on the lower slopes. The island’s circumference is lined by coral reefs.
"
"MDA
","Moldova is a small Eastern European country with an area of 33,846 km2(13,068 sq mi) including the disputed territory of Transnistria. Excluding it, Moldova occupies an area of 29,683 km2(11,461 sq mi).As observed on the physical map of Moldova, the country has a hilly terrain with a subtle slope south toward theBlack Sea. Its topography is relatively rugged. However, elevations never reach beyond 430 m (1,411 ft) - which is the country's highest point, Balanesti Hill and marked on the map by a yellow upright triangle.These hilly regions are part of the Moldavian Plateau, a part of the Carpathian Mountains. Accounting for much of the terrain along that plateau are steep forested slopes interlaced by valleys and ravines.To the north, Moldova's terrain features the Bălți steppe region, a level plain with an average elevation of 500 to 650 ft (150 to 200 m). The region also has uplands.As observed on the map above, Moldova has a well-developed network of streams and rivers draining the land to the Black Sea. While the Dniester river forms only a small part of Moldova's border with Ukraine. At 2 m, the Dniester River has the country's lowest point. The Prut completely makes up the entire western border with Romania.Other important rivers of note include the Nistru and Byk.
"
"MCO
","As the second-smallest independent state in the world, after theVatican City, Monaco is a very hilly, rugged and rocky country. The country covers an area of only 2.1 sq. km.Monaco sits on theMediterranean Coast, and is almost entirely urban. The highest point is Mont Agel, which rises to 459 ft (140 m). The lowest point is the Mediterranean Sea coast at sea level.
"
"MNG
","With an area of 1,564,116 sq. km, Mongolia is the world's 18th largest country. It is located in East Asia where it is bounded by land on all sides.As observed on the physical map of Mongolia, the country features vast areas of elevated lands including plateaus, mountains, and hills.From the Gobi Desert areas of the south, Mongolia rises into a grass-covered and generally treeless plain (steppe), punctuated by three mountain ranges. As marked on the map, these are the Khentii Mountains, Khangai Mountains, and the Altay Mountains.The highest point of Mongolia (marked on the map by a yellow upright triangle), Nayramadlin Orgil at 14,350 ft. (4,374 m), is found in the rugged Atlay Mountains of the west.Overall the country has an average elevation near 5,183 ft., (1,580 m); Hoh Nuur at 1,699 ft. (518 m) is the lowest point in the country.Hovsgol Nuur, one of Asia's largest freshwater lakes is located on its border with the Russian Federation. In addition to being the largest, Hovsgol Nuur is also the second-most voluminous in Asia, and contains nearly 70% of Mongolia's freshwater.The northern reaches of the country are replete with meandering rivers, thousands of small lakes, marshes and glaciers.Mongolia, in the west and north, experiences frequent earthquakes, although volcanoes here are considered extinct.
"
"MNE
","The southeast European country of Montenegro occupies an area of 13,812 sq. km.As observed on the physical map of Montenegro, the country is highly mountainous. Ranging from towering peaks along the Serbian and Albanian borders to a small coastal plain, it is home to a diverse landscape due to its position on the Balkan peninsula and the Adriatic Sea.Consisting of some of the most rugged terrain in Europe, Montenegro's most notable mountain ranges include the Durmitor range, Mount Orjen and Mount Lovcen.The highest point is Bobotov Kuk, located in the Durmitor range, with an elevation of 8,274 ft (2,522 m). It has been marked on the map by a yellow triangle.East, along the Adriatic Sea, a prominent element on the Montenegrin coast is a submerged river canyon known as the Bay of Kotor. It is about 28 km (17 mi) long. The Lovćen and Orjen mountains surround the bay to the east and west respectively.Significant rivers of Montenegro include the Drina, Tara and Lim. As observed on the map above, Lake Skadar is located on the Montenegro-Albania border. It is Montenegro's largest lake and is shared with Albania. It is also Southern Europe's biggest lake and has a surface area of 370–530 km2 (140–200 sq mi). The average depth of Lake Skadar is 5.01 m (16.4 ft).The lowest point in Montenegro is the Adriatic Sea at 0 m.
"
"MAR
","Morocco is a country in the Maghreb Region of North Africa where it covers an area of 710,850 sq. km.Much of Morocco's landscape is mountainous with slopes that gradually transition into plateaus and valleys. As observed on the physical map above, the Atlas mountains dominate the central part of the country, while the Rif mountains make up the northern edge.Jebel Toubkal (marked on the map by a yellow upright triangle) is the highest point of Morocco at 13,664 ft (4,165 m), and is also the highest peak of the Atlas mountains.The southeastern region of the country is blanketed by the Sahara Desert, the world's third largest desert at over 3,600,000 square miles (9,400,000 sq. km).Land degradation is a large issue for Morocco, and many other countries located within the Sahara, as overgrazing of livestock and destruction of vegetation has eroded the soil.Significant sources of water of Morocco include the Moulouya River, whose source is located in the Atlas Mountains, and flows into theMediterranean Sea.The lowest point of the country is Sebkha Tah at -180 ft (-55 m).
"
"MOZ
","Mozambique occupies an area of 801,590 sq. km in Southern Africa.Mozambique is divided into two major topographical regions:To the north of the Zambezi river that runs almost through central Mozambique, a narrow coastline and bordering plateau slope upward into hills and a series of rugged highlands like Angonia Highlands and Lichinga Highlands (as shown on map) punctuated by scattered mountains.South of the Zambezi River, the lowlands are much wider with scattered hills and mountains along its borders with South Africa, Swaziland and Zambia.Monte Binga (marked on map), peaking at 2,435 m, is the highest point of Mozambique; the Indian Ocean (0 m) is the lowest.The country is drained by several significant rivers, with the Zambezi being the largest and most important.The Zambezi is in fact the fourth-longest river in Africa, and the largest flowing into the Indian Ocean from Africa. Other important rivers flowing in Mozambique include Limpopo, Licungo, Lurio, Rovuma, and others.Lake Malawi (Nyasa) is the country's major lake. As seen on the map, it is located on Mozambique's border with Malawi. The Cahora Bassa is Africa's fourth-largest artificial lake. A small slice of Malawi's Lake Chiuta sits in Mozambique.
"
"MMR
","Myanmar (formerly Burma) occupies an area of 676,578 sq. km in the northwesternmost part of mainland Southeast Asia.The elevation of the country gradually rises from the sea level at the river deltas of the Irrawaddy and Sittang river systems to Mount Kkakabo in the north.The country can be roughly divided into 5  physiographic regions. The mountains in the north as already mentioned above. There are also the eastern plateau, coastal plains, western mountains, and central lowlands and basin.The most dominant feature of the country is the Irrawaddy River system, the surrounding valleys and the river's massive delta in the south. The course of the Irrawaddy Rive can be observed on the map above.In the far south, the Mergui Archipelago contains over 800 islands, most of them completely uninhabited.The land rises gently into the Shan Plateau in the east, where the average elevation is near 3,200 ft. (1,000 m).In the far north, the land rises sharply into a southern branch of the Himalayan mountain system. Marked on the physical map above by a yellow triangle, is the country's highest point, the Hkakabo Razi at  19,296 feet (5,881 m). The mountain ranges of the north mostly run in the north-south direction.
"
"NAM
","Namibia's extent can be divided into three topographic zones from west to east. The coastal Namib Desert runs along the country's coast on the Atlantic Ocean. It gives way to the Central Plateau to the west with the Kalahari Desert located further inwards.The Namib Desert is both rocky and sandy. It has an average width of around 50 to 80 miles. The elevation of the Central Plateau varies from 975 to 1,980 m. Most of the country's farmlands are confined to this region. Large parts of the plateau are covered by savanna, scrub, and woodlands. To the north, the plateau gives way to several river valleys like  Kunene and Okavango. The Orange River Valley lies to the south of this plateau. The 2,573 m tall Mount Brand, Namibia's highest mountain, is located on the western edge of the plateau.Swakop, Kuiseb, and Fish are some of the major rivers of the country.The Skeleton Coast of Namibia, as shown on the map, is infamous for its dense fogs that results in numerous shipwrecks in the region.The lowest point in the country is the Atlantic Ocean at 0 m or sea level.
"
"NRU
","Covering an area of only 21 sq.km (8.1 sq mi), Nauru is an island nation and a microstate in Oceania, located in southwestern Pacific Ocean. Nauru is a raised, fossilized coral atoll and is one of the three great phosphate rock islands in the Pacific Ocean. The island is dominated by a central phosphate plateau which is surrounded by coral cliffs. A century of phosphate mining has stripped four-fifths of the total land area and has left behind a barren terrain.Coral reefs surround the island and are exposed at low tide being dotted with pinnacles. The island is ringed by windswept palm trees and a sandy beach. Inward from the beach lies a wide fertile coastal strip of 150-300m. The highest point of the plateau is Command Ridge at an elevation of 233ft (71m). Due to presence of reefs, there are no harbors or protected anchorages.There are no rivers and lakes on the Island; only a landlocked, freshwater lake – Buada Lagoon is found in the Buada district of the Island. The lowest point is the South Pacific Ocean (0m).
"
"NPL
","With an area of 147,516 sq. km, Nepal is a small nation in South Asia. Despite its size, however, Nepal is extensively diverse in terms of topography as observed on the physical map of the country above.Mountains and rugged hills cover almost 75% of Nepal's land area.The elevation of land here rises from as low as only 59 m (194 ft) in the Tarai region to the snow-lined peaks in the north where 90 peaks are over 7,000 m (22,966 ft) in elevation. The world's tallest peak, the 8,848 m or 29,029 ft Mount Everest is also located here. The peak has been marked on the map above by a yellow upright triangle.The Tarai Region (in the south) along the border with India, is a low stretch of land, containing Nepal's lowest point: Kanchan Kalan at 229 ft. (70 m). This area is Nepal's most significant agricultural region. Parts of it are also heavily forested and features a great diversity of wildlife.The country also has an abundance of rivers starting from the glaciers in the mountains and flowing through it to the south. Some of the important rivers marked on the map are the Kail, Karnali, Kosi, and Narayani rivers.
"
"NLD
","As observed on the physical map of the Netherlands, it is a very flat country with almost 25% of its land at, or below sea level. The country covers a total area of 41,865 sq. km.Low rolling hills cover some of the central areas, and in the far south, the land rises into the foothills of the Ardennes Mountains. Vaalserberg, the country's highest point is located there, rising to 322 m (1,053 ft). A yellow upright triangle marks its position on the map. It is found where the Netherlands meets Germany and Belgium.Stretched along the northern coastline, the West Frisian Islands continue to the northeast, becoming the German East Frisian Islands. These barrier islands, separated from the mainland by the Waddenzee, provide a small level of protection from the North Sea.The Netherlands is crossed by hundreds of miles of navigable canals. One of the most important is the North Sea Canal, as it enables ocean-going ships to reach the port of Amsterdam. Satellite picture here!Water, water everywhere, as the central and southern Netherlands are positioned at the delta of four major rivers, including the Rijn, Mass, Scheldt and Waal.The country's largest lakes, Ijsselmeer and Markermeer are both manmade, created by dikes.The lowest point in the country is 'Nieuwekerk aan den Ijssel' at 6,76 m below sea level. An inverted triangle marks its position on the map above.
"
"NZL
","Covering a total area of 268,021 sq.km (103,483 sq mi), New Zealand is comprised of two large islands that can be observed on the physical map of the country above - the North Island and South Island (which areseparated by the Cook Strait),as well as Stewart Island, hundreds of coastal islands and about 600 small regional islands.From north to south, New Zealand is a country of snow-capped mountains and scenic landscapes. Positioned along the Ring of Fire, the Southern Alps (and its many ranges) extend through the western portions of South Island. As marked on the map by an upright yellow triangle, the country's highest point, Mount Cook (Aoraki) is located in the Southern Alps, as well as over 350 glaciers and a wide assortment of national parks. Mount Cook rises to an elevation of 12,316ft (3,754 m). Throughout the Southern Alps, an additional 19 mountains rise above 10,000 ft (3,000 m). Along the western side of these massive peaks there's a narrow strip of coastline. Along their eastern flank, the mountains slope into a region of rolling hills and plains, drained by glacier-fed rivers.In the far south, within the confines of Fiordland National Park, a jagged coastline of fjords, inlets and bays front the Tasman Sea. Milford Sound – located within the park, is surrounded by sheer rock faces that rise to 3,937 ft (1,200 meters) or more on either side. It's widely considered New Zealand's top travel destination.The mountains found on North Island are volcanic in nature, and many remain quite active. On the island's southwestern corner, Mount Taranaki (or Mt. Egmont) rises to an elevation of 8,261 ft (2,518 m). Other volcanic peaks of note stretch across a wide central plateau, including Mount Ruapehu (2,797 m/9,177 ft), Mount Ngauruhoe (2,291 m/7,515 ft), and Mount Tongariro (1,968 m/6,458 ft). This thermal belt area is replete with boiling mud pools, geysers, hot springs and steam vents.Broad coastal plains ring much of North Island, and along its central western coastline, limestone caves, caverns and underground rivers are common. Along the north eastern coastline, the Bay of Islands is famous for its 125 (or more) scenic islands and secluded coves. With Mount Maunganui guarding the entrance, and nearly 62 miles (100 km) of white sand, the Bay of Plenty is New Zealand's premier beach area.Large areas of temperate rain forests are found along the western shore of South Island, and across much of New Zealand's North Island.Occupying an extinct volcanic crater, the country's largest lake is Lake Taupo on North Island. The country's longest river, the Waikato, flows north from Lake Taupo through Hamilton, and on into the Tasman Sea. Lake Te Anau is the largest lake on South Island. The Clutha River is the island's longest river, and like most rivers here, it originates in a Southern Alps glacial lake. The lowest point of New Zealand is South Pacific Ocean (0 m).
"
"NIC
","Nicaragua is a Central American country covering a total area of 130,370 sq. km (50,340 sq. mi) making it the region's biggest country.The country can be divided into roughly three physiographic regions, the Pacific lowlands, central highlands, and the Caribbean highlands.The Pacific lowlands extend about 75 km inland from the coast. As seen on the map above, a row of volcanoes rises from this otherwise mostly flat area.Lake Managua and Lake Nicaragua, the largest freshwater lakes in Central America occupy a rift region located to the east of the Pacific lowlands. Fertile plains surround these lakes and extend northwestwards. This region is highly cultivated due to the presence of fertile volcanic ash.To the east and northeast of the Pacific lowlands is the central highlands region which features rugged mountains like the Isabelia Mountains. The 2,085 m (6,841 ft) high Mogotón, the highest point in the country, is located here. Its position has been marked on the map by a yellow triangle.The Mosquito Coast comprises the eastern Caribbean lowlands region of Nicaragua that has fertile soils that end in numerous lagoons, bays, and salt marshes along the coast. Several rivers drain this region into the Caribbean Sea.
"
"NER
","The landlocked West African country of Niger occupies an area of 1,267,000 sq. km.As visible on the physical map above, large parts of Niger is covered by the Sahara Desert.In the north, the Air Mountains punctuate the Sahara desert in a north-south direction with a series of nine massifs. The highest point of the country, Mont Idoukal-n-Taghes at 2,022 m (marked on the map), is located in the south-central region of the Air Mountains.Another highland region is found to the northeast and comprises a series of high plateaus including Djado, Mangueni, and Tchigaï in the west to east direction.The Tenere Desert (shown on the map), part of the Sahara, is covered by an erg and a reg.The southern part of the country features a stretch of the Sahel region that extends from the southwestern border with Burkina Faso to Lake Chad in the southeast.The Niger River is the main river of the country and has the lowest point of the nation at 200 m. The Niger River basin and Lake Chad basin are the major drainage basins in Niger.
"
"NGA
","Nigeria is a West African country occupying an area of 923,769 sq. km.The country's landscape features plains in the north and south. The central region has hills and plateaus. The Sokoto Plains and the Borno Plains are located in the northwestern and northeastern corners of the country respectively.As shown on the map above, the country shares Lake Chad in the northeast with Niger, Chad and Cameroon.The Jos Plateau (marked on the map) is a distinct physical feature located almost at the center of the country and features massive lava surfaces and extinct volcanoes. The rest of the central plateau region has high plains, shallow river valleys, and inselbergs.The most mountainous area of the country is located to the southeast. The position of Nigeria's highest point has been marked. It is the 2,419 m high Chappal Waddi.The southern Atlantic coast is bordered by mangrove forests and swamps.Lagos, the capital of Nigeria, is located on the Atlantic coast of the country.The Niger and the Benue Rivers showed on the map are the major rivers of Nigeria.  The Niger and Benue River valleys make up Nigeria's most expansive region, merging into each other to form a distinctive 'Y' shape. The country's rivers drain into primarily three drainage basins. These are the Lake Chad, Gulf of Guinea, and Niger-Benue basin.
"
"PRK
","North Korea covers an area of 120,540 sq. km in the northern half of the Korean Peninsula.As observed on the physical map of North Korea above, the country is very mountainous. Several mountain ranges and uplands area crisscross the country separated by deep narrow valleys.As marked on the map by a yellow upright triangle, the highest peak, Paektu-san on the volcanic Baekdu Mountain, is located on its northern border with China, and rises 9,002 ft. (2,744 m). Important mountains found in the country include the Hamgyong, Rangrim, and Kangnam Ranges.Along the west coast there are wide coastal plains, while along the Sea of Japan (East Sea) coastline (North Korea's lowest point at 0 m), narrow plains rise into mountains. Similar to South Korea, dozens of small islands dot the western coastline.North Korea's longest river is the Yulu (Yalu). Other large rivers include the Tumen, Taedang, and Imjin.The lowest point in North Korea is the Sea of Japan at sea level.
"
"NOR
","Norway is a northern European country covering an area of 385,207 sq. km on the Scandinavian Peninsula. As observed on the physical map of Norway, the country is highly mountainous and has a heavily indented coastline.Before the last ice age ended about 10,000 years ago, Norway was covered by a thick ice sheet. When that ice finally retreated (or melted) its movement across the land formed islands, lakes, rivers and mountains. It also etched-out deep valleys that then filled with seawater forming Norway's fjords.Norway is a rugged land of elevated plateaus, deep forested valleys and a few remaining ice age glaciers, including Folgefonna, Hardangerjokulen and Jostedalsbreen - the largest glacier on the continental Europe landmass.Norway is one of Europe's most mountainous countries and dominated north to south by the many ranges of the Scandinavian Mountains as observed on the map above.Its toothy-edged western coastline is a jagged expanse of (over 50,000) islands and dozens of long, deeply indented fjords; the most significant of which include Baknafjord, Geirangerfjord, Hardangerfjord, Moldefjord, Sognefjord, Trondheimfjord and Vestfjord.In the far northeast above the Arctic Circle, frozen arctic tundra dominates the landscape, from Vardo, south and west. This tundra receives little precipitation and has a very short growing season, so it is generally a treeless plain of low shrubs and hearty grasses.A south-central plateau slopes into the Trondelag, a hilly and mountainous farming area with strips of fertile land on the edges of the Trondheim Fjord. Additional lowlands are found in the southeast and along parts of the southern coastline.There are reportedly over 150,000(counted)lakes, most quite small, with the largest being Lake Mjosa.Significant rivers include the Glama, the country's longest, and the Dramselva, Lagen (two of them) and the Tana in the far north.The highest point in Norway (as marked on the map by a yellow triangle) is Galdhøpiggen, standing at 2,469 m (8,100 ft). The lowest point is sea level at the coast.
"
"OMN
","Oman occupies an area of 309,500 sq. km in the southeastern coast of theArabian Peninsula.As observed on the physical map of Oman, the northernmost part of Oman, the Musandam Peninsula, is separated from the rest of the country by a strip of land belonging to the United Arab Emirates. The peninsula is comprised mostly of low hills and mountains.In the rest of the country, a narrow and fertile coastal plain fronts theGulf of Omanin the north; from there the land rises into the rugged Hajar Mountains. Oman's highest point is Jabal Akhdar which reaches 9,776 ft. (2,980 m) and is marked on the map by a yellow triangle, is located in this mountain region.Central and southeast, a few scrubby hills and low mountains dot the central desert landscape and coastal areas.As observed on the map, to the west, the pebbly, desert-like land slopes gently into the sands of the Rub' Al Khali Desert.There are no perennial rivers or lakes of note. The Gulf of Oman has the lowest point in the country at 0 m.The country also has several islands some of which like the Masirah Island, Al Halaaniyaat Islands have been marked on the map above.
"
"PAK
","Pakistan occupies an area of 881,913 in South Asia. Located at the juncture of the Indian and Eurasian plates, the country is highly prone to earthquakes due to plate tectonics.The country can be divided into three major geographic zones as observed on the physical map of the country above. These are the highlands in the north, the plain of the Indus River and the Balochistan Plateau. The country also shares the Thar Desert with India along its eastern border.The northern mountain region features some really high peaks of the Karakoram, Hindu Kush, and Himalayan mountain ranges. The world's second highest peak, Mount K2, is located in Pakistan. The peak has been marked on the map and is also the highest point in the country at 8,611 m or 28,250 ft. Over half the peaks in this northern highland region of Pakistan are above 4,500m.The Indus River and its tributaries drain a large part of the country. The Indus River rises in southwestern Tibet and drains into the Arabian Sea. The course of the river in Pakistan has been marked on the map.The Balochistan Plateau is located at the eastern edge of the Iranian Plateau and the region is very dry and sparsely populated. The mountainous areas of the west-central, along the border with Afghanistan, include the Ras Koh, Safed Koh and Toba Kakar ranges.
"
"PLW
","Covering an area of 466 sq.km (177 sq mi), the island nation of Palau comprises of 340 coral and volcanic islands located in the western Pacific Ocean. Palau consists of the far-western portion of the Caroline Islands, including the larger islands of Babeldaob, Angaur, Babulthuap, EilMalk, Koror, Peleiu and Urukthapel.Palau is a beautiful tropical paradise, and one of the true unspoiled destinations on earth. Most of the 100-plus islands are small low-lying coral islands, ringed by barrier reefs. The exception is the mountainous Babulthuap which is volcanic in origin. The highest point is Mount Ngerchelchuus at an elevation of 715ft (215m). The point has been marked by yellow triangle on the map above. The lowest point is the Pacific Ocean (0m).
"
